iter	Passed	Remaining
0	68	20523
1	79	11787
2	89	8883
3	100	7454
4	111	6594
5	122	6023
6	133	5598
7	144	5282
8	155	5040
9	166	4841
10	177	4676
11	188	4529
12	199	4407
13	209	4281
14	220	4188
15	230	4099
16	242	4042
17	254	3992
18	267	3957
19	277	3891
20	287	3825
21	298	3773
22	309	3728
23	319	3673
24	330	3632
25	340	3590
26	351	3557
27	362	3517
28	372	3485
29	384	3456
30	394	3421
31	405	3395
32	416	3370
33	427	3347
34	438	3317
35	449	3296
36	459	3267
37	471	3250
38	481	3225
39	493	3205
40	503	3183
41	514	3159
42	525	3139
43	535	3117
44	545	3092
45	557	3078
46	568	3059
47	578	3036
48	589	3021
49	600	3003
50	612	2988
51	623	2974
52	634	2956
53	644	2935
54	654	2917
55	665	2901
56	676	2885
57	687	2867
58	697	2850
59	708	2835
60	719	2820
61	729	2802
62	741	2789
63	753	2779
64	766	2770
65	777	2757
66	789	2743
67	799	2727
68	810	2712
69	820	2696
70	831	2681
71	841	2663
72	851	2647
73	861	2631
74	873	2619
75	883	2603
76	894	2589
77	904	2575
78	914	2558
79	925	2545
80	935	2529
81	947	2517
82	959	2508
83	970	2495
84	981	2482
85	991	2467
86	1002	2454
87	1012	2439
88	1023	2426
89	1034	2414
90	1045	2400
91	1056	2388
92	1066	2374
93	1077	2360
94	1088	2347
95	1100	2337
96	1110	2323
97	1121	2311
98	1131	2298
99	1141	2283
100	1151	2268
101	1162	2256
102	1174	2245
103	1185	2233
104	1195	2219
105	1205	2206
106	1216	2194
107	1228	2183
108	1238	2170
109	1249	2157
110	1259	2145
111	1270	2132
112	1280	2119
113	1291	2107
114	1302	2094
115	1312	2081
116	1322	2068
117	1333	2057
118	1345	2046
119	1356	2034
120	1366	2022
121	1377	2009
122	1387	1997
123	1398	1985
124	1410	1974
125	1420	1961
126	1431	1950
127	1442	1938
128	1453	1927
129	1464	1915
130	1475	1903
131	1486	1892
132	1497	1880
133	1507	1867
134	1519	1856
135	1529	1844
136	1540	1832
137	1551	1821
138	1562	1809
139	1573	1798
140	1584	1787
141	1595	1775
142	1606	1763
143	1616	1751
144	1627	1739
145	1638	1728
146	1648	1716
147	1658	1703
148	1669	1691
149	1679	1679
150	1689	1667
151	1699	1655
152	1710	1643
153	1721	1632
154	1731	1619
155	1742	1608
156	1752	1596
157	1763	1584
158	1773	1572
159	1783	1560
160	1794	1548
161	1804	1537
162	1814	1524
163	1824	1513
164	1836	1502
165	1846	1490
166	1857	1479
167	1869	1468
168	1880	1457
169	1891	1446
170	1901	1434
171	1911	1422
172	1921	1410
173	1933	1399
174	1945	1389
175	1958	1379
176	1970	1369
177	1981	1357
178	1992	1346
179	2003	1335
180	2013	1323
181	2024	1312
182	2034	1300
183	2045	1289
184	2056	1278
185	2067	1267
186	2078	1255
187	2089	1245
188	2101	1233
189	2111	1222
190	2122	1211
191	2133	1199
192	2143	1188
193	2154	1176
194	2163	1165
195	2174	1154
196	2186	1142
197	2197	1131
198	2207	1120
199	2217	1108
200	2227	1097
201	2238	1085
202	2249	1074
203	2259	1063
204	2269	1051
205	2280	1040
206	2290	1029
207	2301	1017
208	2311	1006
209	2321	995
210	2332	983
211	2343	972
212	2353	961
213	2363	949
214	2374	938
215	2384	927
216	2395	916
217	2405	904
218	2415	893
219	2425	882
220	2435	870
221	2445	859
222	2455	847
223	2465	836
224	2476	825
225	2486	814
226	2496	802
227	2506	791
228	2516	780
229	2526	769
230	2536	757
231	2547	746
232	2557	735
233	2568	724
234	2578	713
235	2589	702
236	2600	691
237	2611	680
238	2622	669
239	2632	658
240	2642	646
241	2653	635
242	2663	624
243	2674	613
244	2684	602
245	2695	591
246	2705	580
247	2715	569
248	2726	558
249	2737	547
250	2747	536
251	2758	525
252	2768	514
253	2778	503
254	2788	492
255	2799	481
256	2809	470
257	2819	458
258	2830	448
259	2840	437
260	2850	425
261	2861	414
262	2871	403
263	2882	393
264	2893	382
265	2902	371
266	2912	360
267	2923	349
268	2933	338
269	2944	327
270	2955	316
271	2966	305
272	2977	294
273	2987	283
274	2998	272
275	3009	261
276	3019	250
277	3030	239
278	3040	228
279	3051	217
280	3061	207
281	3073	196
282	3083	185
283	3094	174
284	3105	163
285	3114	152
286	3125	141
287	3136	130
288	3146	119
289	3157	108
290	3167	97
291	3178	87
292	3189	76
293	3199	65
294	3210	54
295	3222	43
296	3233	32
297	3244	21
298	3255	10
299	3266	0
